[08/15/2023-02:04:01] [TRT] [I] [MemUsageChange] Init CUDA: CPU +224, GPU +0, now: CPU 265, GPU 1825 (MiB)
[08/15/2023-02:04:02] [TRT] [I] Loaded engine size: 21 MiB
[08/15/2023-02:04:05] [TRT] [I] [MemUsageChange] Init cuBLAS/cuBLASLt: CPU +155, GPU +464, now: CPU 450, GPU 2424 (MiB)
[08/15/2023-02:04:08] [TRT] [I] [MemUsageChange] Init cuDNN: CPU +240, GPU +674, now: CPU 690, GPU 3098 (MiB)
[08/15/2023-02:04:08] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in engine deserialization: CPU +0, GPU +20, now: CPU 0, GPU 20 (MiB)
[08/15/2023-02:04:08] [TRT] [I] [MemUsageChange] Init cuBLAS/cuBLASLt: CPU +0, GPU +0, now: CPU 669, GPU 3078 (MiB)
[08/15/2023-02:04:08] [TRT] [I] [MemUsageChange] Init cuDNN: CPU +0, GPU +0, now: CPU 669, GPU 3078 (MiB)
[08/15/2023-02:04:09] [TRT] [I] [MemUsageChange] TensorRT-managed allocation in IExecutionContext creation: CPU +0, GPU +32, now: CPU 0, GPU 52 (MiB)
GST_ARGUS: Creating output stream
CONSUMER: Waiting until producer is connected...
GST_ARGUS: Available Sensor modes :
GST_ARGUS: 3264 x 2464 FR = 21.000000 fps Duration = 47619048 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 3264 x 1848 FR = 28.000001 fps Duration = 35714284 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1920 x 1080 FR = 29.999999 fps Duration = 33333334 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1640 x 1232 FR = 29.999999 fps Duration = 33333334 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1280 x 720 FR = 59.999999 fps Duration = 16666667 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: 1280 x 720 FR = 120.000005 fps Duration = 8333333 ; Analog Gain range min 1.000000, max 10.625000; Exposure Range min 13000, max 683709000;

GST_ARGUS: Running with following settings:
   Camera index = 0 
   Camera mode  = 5 
   Output Stream W = 1280 H = 720 
   seconds to Run    = 0 
   Frame Rate = 120.000005 
GST_ARGUS: Setup Complete, Starting captures for 0 seconds
GST_ARGUS: Starting repeat capture requests.
CONSUMER: Producer has connected; continuing.
bingding: data (3, 640, 640)
bingding: prob (6001, 1, 1)
batch size is 1
Video name: output/raspberry_cam_from_drone_2023-08-15_02.04.10.avi . Frame size: width: 640 , height: 640 , FPS: 120
inference: time->60.04ms, fps: 16.66, total fps: 0.00, frame obj: 6, total obj: 6
inference: time->55.14ms, fps: 18.14, total fps: 4.00, frame obj: 7, total obj: 399
inference: time->54.80ms, fps: 18.25, total fps: 4.00, frame obj: 6, total obj: 405
inference: time->54.89ms, fps: 18.22, total fps: 4.00, frame obj: 7, total obj: 412
inference: time->55.01ms, fps: 18.18, total fps: 4.00, frame obj: 5, total obj: 417
inference: time->54.69ms, fps: 18.29, total fps: 4.00, frame obj: 6, total obj: 423
inference: time->54.66ms, fps: 18.29, total fps: 4.00, frame obj: 8, total obj: 431
inference: time->54.81ms, fps: 18.24, total fps: 4.00, frame obj: 6, total obj: 437
inference: time->55.24ms, fps: 18.10, total fps: 4.00, frame obj: 5, total obj: 442
inference: time->56.58ms, fps: 17.68, total fps: 3.00, frame obj: 6, total obj: 448
inference: time->54.83ms, fps: 18.24, total fps: 4.00, frame obj: 9, total obj: 457
inference: time->54.69ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 464
inference: time->54.65ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 471
inference: time->54.80ms, fps: 18.25, total fps: 4.00, frame obj: 9, total obj: 480
inference: time->54.92ms, fps: 18.21, total fps: 4.00, frame obj: 8, total obj: 488
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 495
inference: time->54.84ms, fps: 18.23, total fps: 4.00, frame obj: 10, total obj: 505
inference: time->54.65ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 512
inference: time->54.75ms, fps: 18.26, total fps: 4.00, frame obj: 5, total obj: 517
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 5, total obj: 522
inference: time->54.83ms, fps: 18.24, total fps: 4.00, frame obj: 6, total obj: 528
inference: time->54.59ms, fps: 18.32, total fps: 4.00, frame obj: 7, total obj: 535
inference: time->54.86ms, fps: 18.23, total fps: 4.00, frame obj: 6, total obj: 541
inference: time->54.48ms, fps: 18.36, total fps: 4.00, frame obj: 5, total obj: 546
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 7, total obj: 553
inference: time->55.17ms, fps: 18.13, total fps: 4.00, frame obj: 6, total obj: 559
inference: time->55.85ms, fps: 17.91, total fps: 4.00, frame obj: 7, total obj: 566
inference: time->54.84ms, fps: 18.23, total fps: 4.00, frame obj: 6, total obj: 572
inference: time->55.00ms, fps: 18.18, total fps: 4.00, frame obj: 6, total obj: 578
inference: time->54.79ms, fps: 18.25, total fps: 4.00, frame obj: 6, total obj: 584
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 5, total obj: 589
inference: time->57.25ms, fps: 17.47, total fps: 4.00, frame obj: 6, total obj: 595
inference: time->54.64ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 602
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 6, total obj: 608
inference: time->55.04ms, fps: 18.17, total fps: 4.00, frame obj: 6, total obj: 614
inference: time->55.14ms, fps: 18.14, total fps: 4.00, frame obj: 6, total obj: 620
inference: time->54.85ms, fps: 18.23, total fps: 4.00, frame obj: 6, total obj: 626
inference: time->56.89ms, fps: 17.58, total fps: 4.00, frame obj: 6, total obj: 632
inference: time->54.72ms, fps: 18.28, total fps: 4.00, frame obj: 5, total obj: 637
inference: time->54.91ms, fps: 18.21, total fps: 4.00, frame obj: 6, total obj: 643
inference: time->54.89ms, fps: 18.22, total fps: 4.00, frame obj: 6, total obj: 649
inference: time->55.06ms, fps: 18.16, total fps: 4.00, frame obj: 6, total obj: 655
inference: time->54.74ms, fps: 18.27, total fps: 4.00, frame obj: 6, total obj: 661
inference: time->54.97ms, fps: 18.19, total fps: 4.00, frame obj: 6, total obj: 667
inference: time->54.87ms, fps: 18.23, total fps: 4.00, frame obj: 8, total obj: 675
inference: time->55.15ms, fps: 18.13, total fps: 4.00, frame obj: 7, total obj: 682
inference: time->54.60ms, fps: 18.31, total fps: 4.00, frame obj: 6, total obj: 688
inference: time->55.37ms, fps: 18.06, total fps: 4.00, frame obj: 8, total obj: 696
inference: time->54.90ms, fps: 18.22, total fps: 4.00, frame obj: 6, total obj: 702
inference: time->54.91ms, fps: 18.21, total fps: 4.00, frame obj: 6, total obj: 708
inference: time->55.03ms, fps: 18.17, total fps: 3.00, frame obj: 5, total obj: 713
inference: time->54.83ms, fps: 18.24, total fps: 4.00, frame obj: 5, total obj: 718
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 5, total obj: 723
inference: time->54.79ms, fps: 18.25, total fps: 4.00, frame obj: 7, total obj: 730
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 7, total obj: 737
inference: time->56.09ms, fps: 17.83, total fps: 4.00, frame obj: 6, total obj: 743
inference: time->55.67ms, fps: 17.96, total fps: 4.00, frame obj: 6, total obj: 749
inference: time->56.03ms, fps: 17.85, total fps: 4.00, frame obj: 7, total obj: 756
inference: time->55.05ms, fps: 18.16, total fps: 4.00, frame obj: 8, total obj: 764
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 6, total obj: 770
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 6, total obj: 776
inference: time->54.61ms, fps: 18.31, total fps: 4.00, frame obj: 6, total obj: 782
inference: time->54.85ms, fps: 18.23, total fps: 4.00, frame obj: 6, total obj: 788
inference: time->54.50ms, fps: 18.35, total fps: 4.00, frame obj: 7, total obj: 795
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 802
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 809
inference: time->54.93ms, fps: 18.21, total fps: 4.00, frame obj: 9, total obj: 818
inference: time->55.15ms, fps: 18.13, total fps: 4.00, frame obj: 9, total obj: 827
inference: time->54.71ms, fps: 18.28, total fps: 4.00, frame obj: 6, total obj: 833
inference: time->54.77ms, fps: 18.26, total fps: 4.00, frame obj: 7, total obj: 840
inference: time->54.55ms, fps: 18.33, total fps: 4.00, frame obj: 6, total obj: 846
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 6, total obj: 852
inference: time->54.47ms, fps: 18.36, total fps: 4.00, frame obj: 11, total obj: 863
inference: time->54.67ms, fps: 18.29, total fps: 4.00, frame obj: 7, total obj: 870
inference: time->54.46ms, fps: 18.36, total fps: 4.00, frame obj: 8, total obj: 878
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 8, total obj: 886
inference: time->54.71ms, fps: 18.28, total fps: 5.00, frame obj: 6, total obj: 892
inference: time->55.30ms, fps: 18.08, total fps: 4.00, frame obj: 7, total obj: 899
inference: time->54.74ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 906
inference: time->56.62ms, fps: 17.66, total fps: 4.00, frame obj: 8, total obj: 914
inference: time->54.55ms, fps: 18.33, total fps: 4.00, frame obj: 8, total obj: 922
inference: time->54.52ms, fps: 18.34, total fps: 4.00, frame obj: 7, total obj: 929
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 12, total obj: 941
inference: time->54.63ms, fps: 18.30, total fps: 4.00, frame obj: 6, total obj: 947
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 6, total obj: 953
inference: time->54.66ms, fps: 18.29, total fps: 4.00, frame obj: 6, total obj: 959
inference: time->54.74ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 966
inference: time->54.69ms, fps: 18.29, total fps: 4.00, frame obj: 6, total obj: 972
inference: time->54.69ms, fps: 18.29, total fps: 5.00, frame obj: 6, total obj: 978
inference: time->54.49ms, fps: 18.35, total fps: 4.00, frame obj: 7, total obj: 985
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 6, total obj: 991
inference: time->54.60ms, fps: 18.31, total fps: 4.00, frame obj: 6, total obj: 997
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 1004
inference: time->54.81ms, fps: 18.25, total fps: 4.00, frame obj: 6, total obj: 1010
inference: time->54.64ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 1017
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 9, total obj: 1026
inference: time->54.57ms, fps: 18.33, total fps: 4.00, frame obj: 6, total obj: 1032
inference: time->54.51ms, fps: 18.34, total fps: 4.00, frame obj: 7, total obj: 1039
inference: time->54.79ms, fps: 18.25, total fps: 4.00, frame obj: 6, total obj: 1045
inference: time->54.51ms, fps: 18.34, total fps: 4.00, frame obj: 8, total obj: 1053
inference: time->54.84ms, fps: 18.24, total fps: 5.00, frame obj: 9, total obj: 1062
inference: time->54.97ms, fps: 18.19, total fps: 4.00, frame obj: 9, total obj: 1071
inference: time->55.55ms, fps: 18.00, total fps: 4.00, frame obj: 9, total obj: 1080
inference: time->54.56ms, fps: 18.33, total fps: 4.00, frame obj: 7, total obj: 1087
inference: time->54.51ms, fps: 18.35, total fps: 4.00, frame obj: 6, total obj: 1093
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 9, total obj: 1102
inference: time->54.56ms, fps: 18.33, total fps: 4.00, frame obj: 8, total obj: 1110
inference: time->54.52ms, fps: 18.34, total fps: 4.00, frame obj: 8, total obj: 1118
inference: time->54.61ms, fps: 18.31, total fps: 4.00, frame obj: 8, total obj: 1126
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 10, total obj: 1136
inference: time->54.84ms, fps: 18.23, total fps: 4.00, frame obj: 11, total obj: 1147
inference: time->54.84ms, fps: 18.24, total fps: 4.00, frame obj: 9, total obj: 1156
inference: time->54.72ms, fps: 18.28, total fps: 4.00, frame obj: 12, total obj: 1168
inference: time->54.89ms, fps: 18.22, total fps: 4.00, frame obj: 11, total obj: 1179
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 10, total obj: 1189
inference: time->54.77ms, fps: 18.26, total fps: 4.00, frame obj: 9, total obj: 1198
inference: time->54.83ms, fps: 18.24, total fps: 4.00, frame obj: 9, total obj: 1207
inference: time->55.22ms, fps: 18.11, total fps: 4.00, frame obj: 8, total obj: 1215
inference: time->54.71ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 1222
inference: time->54.79ms, fps: 18.25, total fps: 4.00, frame obj: 8, total obj: 1230
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 7, total obj: 1237
inference: time->54.72ms, fps: 18.28, total fps: 4.00, frame obj: 10, total obj: 1247
inference: time->54.57ms, fps: 18.33, total fps: 4.00, frame obj: 11, total obj: 1258
inference: time->54.57ms, fps: 18.33, total fps: 4.00, frame obj: 9, total obj: 1267
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 8, total obj: 1275
inference: time->54.72ms, fps: 18.27, total fps: 4.00, frame obj: 6, total obj: 1281
inference: time->54.86ms, fps: 18.23, total fps: 4.00, frame obj: 7, total obj: 1288
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 9, total obj: 1297
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 7, total obj: 1304
inference: time->54.47ms, fps: 18.36, total fps: 4.00, frame obj: 7, total obj: 1311
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 6, total obj: 1317
inference: time->54.55ms, fps: 18.33, total fps: 4.00, frame obj: 5, total obj: 1322
inference: time->54.67ms, fps: 18.29, total fps: 4.00, frame obj: 7, total obj: 1329
inference: time->54.71ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 1336
inference: time->54.72ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 1343
inference: time->54.89ms, fps: 18.22, total fps: 4.00, frame obj: 8, total obj: 1351
inference: time->54.81ms, fps: 18.25, total fps: 5.00, frame obj: 7, total obj: 1358
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 1365
inference: time->54.59ms, fps: 18.32, total fps: 4.00, frame obj: 7, total obj: 1372
inference: time->54.68ms, fps: 18.29, total fps: 4.00, frame obj: 10, total obj: 1382
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 7, total obj: 1389
inference: time->54.65ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 1396
inference: time->54.53ms, fps: 18.34, total fps: 4.00, frame obj: 7, total obj: 1403
inference: time->54.62ms, fps: 18.31, total fps: 4.00, frame obj: 9, total obj: 1412
inference: time->54.71ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 1419
inference: time->54.87ms, fps: 18.22, total fps: 4.00, frame obj: 6, total obj: 1425
inference: time->54.78ms, fps: 18.25, total fps: 4.00, frame obj: 6, total obj: 1431
inference: time->54.92ms, fps: 18.21, total fps: 4.00, frame obj: 7, total obj: 1438
inference: time->54.60ms, fps: 18.31, total fps: 5.00, frame obj: 7, total obj: 1445
inference: time->54.65ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 1452
inference: time->54.63ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 1459
inference: time->54.67ms, fps: 18.29, total fps: 4.00, frame obj: 7, total obj: 1466
inference: time->54.47ms, fps: 18.36, total fps: 4.00, frame obj: 8, total obj: 1474
inference: time->54.83ms, fps: 18.24, total fps: 4.00, frame obj: 7, total obj: 1481
inference: time->54.80ms, fps: 18.25, total fps: 4.00, frame obj: 7, total obj: 1488
inference: time->54.77ms, fps: 18.26, total fps: 4.00, frame obj: 8, total obj: 1496
inference: time->54.78ms, fps: 18.26, total fps: 4.00, frame obj: 8, total obj: 1504
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 7, total obj: 1511
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 1518
inference: time->54.65ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 1525
inference: time->54.57ms, fps: 18.33, total fps: 5.00, frame obj: 6, total obj: 1531
inference: time->54.64ms, fps: 18.30, total fps: 4.00, frame obj: 7, total obj: 1538
inference: time->55.06ms, fps: 18.16, total fps: 4.00, frame obj: 7, total obj: 1545
inference: time->54.62ms, fps: 18.31, total fps: 4.00, frame obj: 7, total obj: 1552
inference: time->54.67ms, fps: 18.29, total fps: 4.00, frame obj: 7, total obj: 1559
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 8, total obj: 1567
inference: time->54.56ms, fps: 18.33, total fps: 4.00, frame obj: 7, total obj: 1574
inference: time->54.52ms, fps: 18.34, total fps: 4.00, frame obj: 7, total obj: 1581
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 8, total obj: 1589
inference: time->54.60ms, fps: 18.31, total fps: 4.00, frame obj: 7, total obj: 1596
inference: time->55.02ms, fps: 18.17, total fps: 4.00, frame obj: 7, total obj: 1603
inference: time->54.83ms, fps: 18.24, total fps: 4.00, frame obj: 6, total obj: 1609
inference: time->54.82ms, fps: 18.24, total fps: 5.00, frame obj: 9, total obj: 1618
inference: time->54.53ms, fps: 18.34, total fps: 4.00, frame obj: 7, total obj: 1625
inference: time->54.66ms, fps: 18.29, total fps: 4.00, frame obj: 7, total obj: 1632
inference: time->54.51ms, fps: 18.35, total fps: 4.00, frame obj: 7, total obj: 1639
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 1646
inference: time->54.85ms, fps: 18.23, total fps: 4.00, frame obj: 7, total obj: 1653
inference: time->54.61ms, fps: 18.31, total fps: 4.00, frame obj: 8, total obj: 1661
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 6, total obj: 1667
inference: time->54.90ms, fps: 18.22, total fps: 4.00, frame obj: 7, total obj: 1674
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 7, total obj: 1681
inference: time->54.46ms, fps: 18.36, total fps: 4.00, frame obj: 8, total obj: 1689
inference: time->54.55ms, fps: 18.33, total fps: 4.00, frame obj: 8, total obj: 1697
inference: time->54.92ms, fps: 18.21, total fps: 5.00, frame obj: 6, total obj: 1703
inference: time->54.70ms, fps: 18.28, total fps: 4.00, frame obj: 7, total obj: 1710
inference: time->54.89ms, fps: 18.22, total fps: 4.00, frame obj: 7, total obj: 1717
inference: time->54.89ms, fps: 18.22, total fps: 4.00, frame obj: 7, total obj: 1724
inference: time->54.85ms, fps: 18.23, total fps: 4.00, frame obj: 7, total obj: 1731
inference: time->54.73ms, fps: 18.27, total fps: 4.00, frame obj: 6, total obj: 1737
inference: time->54.58ms, fps: 18.32, total fps: 4.00, frame obj: 7, total obj: 1744
inference: time->54.76ms, fps: 18.26, total fps: 4.00, frame obj: 7, total obj: 1751
inference: time->54.54ms, fps: 18.34, total fps: 4.00, frame obj: 6, total obj: 1757
inference: time->54.78ms, fps: 18.26, total fps: 4.00, frame obj: 8, total obj: 1765
inference: time->54.72ms, fps: 18.28, total fps: 4.00, frame obj: 8, total obj: 1773
inference: time->54.64ms, fps: 18.30, total fps: 4.00, frame obj: 6, total obj: 1779
inference: time->55.82ms, fps: 17.91, total fps: 4.00, frame obj: 7, total obj: 1786
inference: time->55.05ms, fps: 18.17, total fps: 4.00, frame obj: 6, total obj: 1792
inference: time->55.25ms, fps: 18.10, total fps: 4.00, frame obj: 7, total obj: 1799
inference: time->54.88ms, fps: 18.22, total fps: 4.00, frame obj: 7, total obj: 1806
inference: time->54.98ms, fps: 18.19, total fps: 4.00, frame obj: 7, total obj: 1813
